id,name,is_active,model,extensions,data_source,is_parsed,preview,type,category,filename,filepath,genre,period,analysis_priority,added_to_corpus,classification,field,topic,processing,original_doc
300abbfc-acd0-4ea7-a17f-c6a4a112d660,sample_literature,True,,[],,False,"In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort....",sample,literature,300abbfc-acd0-4ea7-a17f-c6a4a112d660.bin,C:\Users\aaron\AppData\Local\Temp\tmpgrcuxt1f\data\300abbfc-acd0-4ea7-a17f-c6a4a112d660.bin,fiction,modern,high,2025-06-21 00:21:37,"{'sentiment': 'positive', 'confidence': 0.96, 'model': 'demo_classifier_v1.0'}",,,,
cfb97446-efdc-4ce7-a187-3bb9be6636a3,sample_academic,True,,[],,False,"The rapid advancement of artificial intelligence has profound implications for various sectors of society. Machine learning algorithms are increasingly being deployed in healthcare, finance, and education, raising important questions about accountability, transparency, and fairness in automated decision-making systems....",sample,academic,cfb97446-efdc-4ce7-a187-3bb9be6636a3.bin,C:\Users\aaron\AppData\Local\Temp\tmpgrcuxt1f\data\cfb97446-efdc-4ce7-a187-3bb9be6636a3.bin,academic,,high,2025-06-21 00:21:37,"{'sentiment': 'neutral', 'confidence': 0.88, 'model': 'demo_classifier_v1.0'}",computer_science,,,
320ee498-7903-4641-ac26-3a9ad6c37998,sample_news,True,,[],,False,"Local authorities announced today that the new community center will open next month. The facility will feature a library, gymnasium, and meeting spaces for local organizations. Residents have been eagerly anticipating the opening since construction began two years ago....",sample,news,320ee498-7903-4641-ac26-3a9ad6c37998.bin,C:\Users\aaron\AppData\Local\Temp\tmpgrcuxt1f\data\320ee498-7903-4641-ac26-3a9ad6c37998.bin,journalism,,medium,2025-06-21 00:21:37,"{'sentiment': 'neutral', 'confidence': 0.92, 'model': 'demo_classifier_v1.0'}",,local_news,,
17cc8d8e-a696-420d-b3f3-f667920f1dfd,sample_dialogue,True,,[],,False,"""How are you today?"" she asked with a smile. ""I'm doing well, thank you,"" he replied. ""The weather is beautiful, isn't it?"" ""Yes, perfect for a walk in the park,"" she agreed enthusiastically....",sample,dialogue,17cc8d8e-a696-420d-b3f3-f667920f1dfd.bin,C:\Users\aaron\AppData\Local\Temp\tmpgrcuxt1f\data\17cc8d8e-a696-420d-b3f3-f667920f1dfd.bin,other,,low,2025-06-21 00:21:37,"{'sentiment': 'neutral', 'confidence': 0.91, 'model': 'demo_classifier_v1.0'}",,,,
a94cd250-ab67-4428-b41c-fcf25676b003,sample_technical,True,,[],,False,The implementation requires instantiation of the primary data structure followed by iterative processing of the input parameters. Error handling mechanisms must be incorporated to ensure robust operation under various edge case conditions and unexpected input variations....,sample,technical,a94cd250-ab67-4428-b41c-fcf25676b003.bin,C:\Users\aaron\AppData\Local\Temp\tmpgrcuxt1f\data\a94cd250-ab67-4428-b41c-fcf25676b003.bin,other,,low,2025-06-21 00:21:37,"{'sentiment': 'neutral', 'confidence': 0.97, 'model': 'demo_classifier_v1.0'}",,,,
53cefed2-09a6-4f99-a811-a3760a5cf1eb,sample_literature_processed,True,en_core_web_sm,[],,True,In a hole in the ground there lived a hobbit. Not ...,sample,literature,53cefed2-09a6-4f99-a811-a3760a5cf1eb.bin,C:\Users\aaron\AppData\Local\Temp\tmpgrcuxt1f\data\53cefed2-09a6-4f99-a811-a3760a5cf1eb.bin,fiction,modern,high,2025-06-21 00:21:37,"{'sentiment': 'positive', 'confidence': 0.78, 'model': 'demo_classifier_v1.0'}",,,spacy_nlp,sample_literature
2d8c272f-69be-410f-9d9b-53e27653d98e,sample_academic_processed,True,en_core_web_sm,[],,True,The rapid advancement of artificial intelligence h...,sample,academic,2d8c272f-69be-410f-9d9b-53e27653d98e.bin,C:\Users\aaron\AppData\Local\Temp\tmpgrcuxt1f\data\2d8c272f-69be-410f-9d9b-53e27653d98e.bin,academic,,high,2025-06-21 00:21:37,"{'sentiment': 'neutral', 'confidence': 0.97, 'model': 'demo_classifier_v1.0'}",computer_science,,spacy_nlp,sample_academic
944d47fb-292e-4a19-a165-3d33722f60c9,sample_news_processed,True,en_core_web_sm,[],,True,Local authorities announced today that the new com...,sample,news,944d47fb-292e-4a19-a165-3d33722f60c9.bin,C:\Users\aaron\AppData\Local\Temp\tmpgrcuxt1f\data\944d47fb-292e-4a19-a165-3d33722f60c9.bin,journalism,,medium,2025-06-21 00:21:37,"{'sentiment': 'neutral', 'confidence': 0.97, 'model': 'demo_classifier_v1.0'}",,local_news,spacy_nlp,sample_news
72d1ad73-6ceb-49a5-966a-c31a7189f075,sample_dialogue_processed,True,en_core_web_sm,[],,True,"""How are you today?"" she asked with a smile. ""I'm ...",sample,dialogue,72d1ad73-6ceb-49a5-966a-c31a7189f075.bin,C:\Users\aaron\AppData\Local\Temp\tmpgrcuxt1f\data\72d1ad73-6ceb-49a5-966a-c31a7189f075.bin,other,,low,2025-06-21 00:21:37,"{'sentiment': 'neutral', 'confidence': 0.95, 'model': 'demo_classifier_v1.0'}",,,spacy_nlp,sample_dialogue
8f8a637c-7948-4125-88ab-56890c9cb04e,sample_technical_processed,True,en_core_web_sm,[],,True,The implementation requires instantiation of the p...,sample,technical,8f8a637c-7948-4125-88ab-56890c9cb04e.bin,C:\Users\aaron\AppData\Local\Temp\tmpgrcuxt1f\data\8f8a637c-7948-4125-88ab-56890c9cb04e.bin,other,,low,2025-06-21 00:21:37,"{'sentiment': 'neutral', 'confidence': 0.81, 'model': 'demo_classifier_v1.0'}",,,spacy_nlp,sample_technical
